"Organism","Limb_width","Limb_length","Observer"
"Species_C",0.85,39.24,"Blossom"
"Species_C",0.81,21.77,"Blossom"
"Species_B",0.99,39.61,"Bubbles"
"Species_B",1.05,29.2,"Blossom"
"Species_C",1.39,46.13,"Bubbles"
"Species_E",0.86,13.34,"Bubbles"
"Species_D",1.09,17.7,"Bubbles"
"Species_A",0.97,9.27,"Blossom"
"Species_B",1.12,14.47,"Blossom"
"Species_C",1.06,48.97,"Buttercup"
"Species_E",1.53,18.33,"Buttercup"
"Species_C",1.01,37.67,"Bubbles"
"Species_C",1.35,40.36,"Blossom"
"Species_A",0.83,9.74,"Blossom"
"Species_D",0.72,15.78,"Buttercup"
"Species_A",0.8,17.17,"Buttercup"
"Species_A",1.14,9.55,"Buttercup"
"Species_E",1.16,10.31,"Buttercup"
"Species_C",0.93,49.61,"Blossom"
"Species_B",1.42,49.37,"Bubbles"
"Species_B",1.53,11.17,"Bubbles"
"Species_A",1.15,45.74,"Buttercup"
"Species_C",0.92,30.93,"Bubbles"
"Species_D",1.05,22.8,"Blossom"
"Species_A",1.41,25.24,"Blossom"
"Species_C",0.95,36.79,"Buttercup"
"Species_E",0.53,8.71,"Blossom"
"Species_D",0.92,20.27,"Bubbles"
"Species_B",1.29,35.64,"Buttercup"
"Species_E",1.26,19.26,"Bubbles"
"Species_A",1.13,42.42,"Bubbles"
"Species_A",1.1,14.68,"Buttercup"
"Species_B",1.18,27.41,"Blossom"
"Species_C",1.56,17.42,"Bubbles"
"Species_D",1.18,13.64,"Bubbles"
"Species_E",0.77,47.78,"Blossom"
"Species_E",0.81,19.48,"Blossom"
"Species_C",1.24,26.53,"Blossom"
"Species_A",0.93,6.26,"Blossom"
"Species_B",1.34,29.64,"Bubbles"
"Species_E",1.36,33.99,"Buttercup"
"Species_E",1.49,31.83,"Buttercup"
"Species_D",1.06,19.49,"Blossom"
"Species_E",0.88,45.1,"Buttercup"
"Species_B",1,33.18,"Buttercup"
"Species_A",0.25,18.63,"Buttercup"
"Species_A",0.71,22.47,"Blossom"
"Species_C",1.19,12.22,"Buttercup"
"Species_A",0.97,43.81,"Buttercup"
"Species_E",1.11,47.89,"Blossom"
"Species_A",0.67,30.36,"Blossom"
"Species_B",0.77,19.83,"Buttercup"
"Species_D",0.92,49.85,"Blossom"
"Species_D",0.77,15.57,"Buttercup"
"Species_C",1.13,32.57,"Blossom"
"Species_A",0.62,9.87,"Blossom"
"Species_B",1.35,26.92,"Bubbles"
"Species_A",1.27,9.48,"Blossom"
"Species_B",0.62,12.25,"Buttercup"
"Species_D",1.25,17.73,"Bubbles"
"Species_E",0.3,31.27,"Bubbles"
"Species_E",1.18,37.93,"Buttercup"
"Species_C",0.99,12.45,"Blossom"
"Species_A",0.28,43.99,"Bubbles"
"Species_D",0.99,36.89,"Bubbles"
"Species_A",0.97,39.22,"Buttercup"
"Species_A",0.52,11.62,"Buttercup"
"Species_C",1.26,21.11,"Buttercup"
"Species_D",0.79,35.3,"Bubbles"
"Species_A",1.32,28.57,"Blossom"
"Species_C",0.84,20.74,"Blossom"
"Species_E",1.16,15.82,"Buttercup"
"Species_C",0.45,7.62,"Buttercup"
"Species_B",0.46,15.65,"Buttercup"
"Species_E",1.41,45.05,"Buttercup"
"Species_E",0.83,41.53,"Blossom"
"Species_C",1.29,38.64,"Bubbles"
"Species_B",0.99,11.97,"Buttercup"
"Species_B",1.11,10.61,"Blossom"
"Species_B",1.6,48.86,"Bubbles"
"Species_D",0.65,24.63,"Buttercup"
"Species_B",0.77,25.88,"Buttercup"
"Species_B",0.9,12.44,"Buttercup"
"Species_D",0.91,31.32,"Blossom"
"Species_D",1.09,17.19,"Bubbles"
"Species_A",1.55,15.35,"Blossom"
"Species_C",0.71,36.1,"Buttercup"
"Species_C",1.66,17.73,"Bubbles"
"Species_A",0.94,41.47,"Blossom"
"Species_C",1.29,9.23,"Bubbles"
"Species_E",0.74,41.99,"Blossom"
"Species_B",0.85,24.23,"Blossom"
"Species_C",1.24,39.01,"Buttercup"
"Species_B",0.37,34.81,"Blossom"
"Species_E",0.99,25,"Blossom"
"Species_E",0.88,33.22,"Blossom"
"Species_C",0.97,5.02,"Blossom"
"Species_D",1.54,14.78,"Blossom"
"Species_D",0.76,36.72,"Buttercup"
"Species_D",1.57,14.68,"Bubbles"
